"order","copied_file","original_relative_path","description","size_bytes"
"01","01_photo_progress_card.png","figures\photo_progress_card.png","Dataset preparation and photo progress figure","38060"
"02","02_final_version_bar_chart.png","figures\final_version_bar_chart.png","Mean edge alignment bar chart","44178"
"03","03_representative_case_comparison.jpg","figures\representative_case_comparison.jpg","Representative result comparison","163747"
"04","04_limitation_case_comparison.jpg","figures\limitation_case_comparison.jpg","Limitation or failure case comparison","154880"
